"関連分野","区分","順位","会議名","URL","所管","対象分野","直近開催日","備考"
"造船","官邸・政府横断","1","造船WG","https://www.mlit.go.jp/maritime/maritime_tk5_000090.html","国土交通省・内閣府","造船業再生・官民投資・建造能力強化","2026年4月10日（第3回開催予定）","日本成長戦略会議の造船分野の司令塔"
"造船","官邸・政府横断","2","造船業再生に向けた検討会","https://www.mlit.go.jp/maritime/maritime_tk5_000090.html","国土交通省","造船業再生ロードマップ・総合的官民投資策","2025年12月23日（第1回）","造船業再生ロードマップ策定後の実務検討会"
"造船","省庁","3","船舶産業の変革実現のための検討会","https://www.mlit.go.jp/maritime/maritime_tk5_000080.html","国土交通省","船舶産業の変革・デジタル化・人材・次世代船舶対応","2024年6月26日（第5回）","2030年に目指すべき船舶産業の姿・目標を整理"
"造船","省庁","","交通政策審議会 海事分科会","https://www.mlit.go.jp/policy/shingikai/s302_kaiji01.html","国土交通省","海運・造船・船員・船舶交通安全","2026年3月9日（第47回）","造船を含む海事政策の上位審議会"
"造船","省庁","","交通政策審議会 海事分科会 海事イノベーション部会","https://www.mlit.go.jp/policy/shingikai/s303_kaijiinnovation01.html","国土交通省","造船の輸出拡大・海事産業の生産性革命・基盤整備","2021年1月7日（答申）/ 2020年12月11日（第11回）","造船業のあり方と基盤整備の重要な系譜"
"造船","省庁","4","自動運航船検討会","https://www.mlit.go.jp/maritime/maritime_fr7_000046.html","国土交通省","自動運航船・商用運航・安全基準・検査方法","2025年6月3日（第5回）","次世代船舶・高付加価値造船に直結"
"造船","省庁","","自動運航船 安全基準・検査WG","https://www.mlit.go.jp/maritime/maritime_fr7_000047.html","国土交通省","自動運航船の安全基準・検査方法","2025年4月24日（第5回）","自動運航船検討会の下部WG"
"造船","省庁","","新造船政策検討会","https://www.mlit.go.jp/maritime/maritime_tk5_000007.html","国土交通省","造船政策・国際競争力強化","2011年3月10日（第4回）","現在の造船政策の前史"
"造船","省庁","","造船業・海洋産業における人材確保・育成方策に関する検討会","https://www.mlit.go.jp/maritime/maritime_tk5_000025.html","国土交通省","造船人材・技能者・技術者育成","2017年2月14日（第5回）","造船人材政策の系譜"
"造船","省庁","","産業構造審議会 グリーンイノベーションプロジェクト部会 産業構造転換分野WG（次世代船舶の開発関連）","https://www.meti.go.jp/shingikai/sankoshin/green_innovation/industrial_restructuring/010.html","経済産業省","次世代船舶・ゼロエミッション船・GI基金","2022年10月11日（第10回）","「次世代船舶の開発」プロジェクトを審議"
"造船","官邸・政府横断","5","GX実現に向けた専門家WG","https://www.cas.go.jp/jp/seisaku/gx_jikkou_kaigi/index.html","内閣官房GX実行推進室・経済産業省GXグループ","脱炭素・次世代船舶等への投資・GX","2026年3月17日（第16回）","次世代船舶などの脱炭素投資の観点で関連"
"造船","関連TF・周辺","","将来の船舶需要予測検討タスクフォース","https://www.mlit.go.jp/report/press/kaiji05_hh_000302.html","国土交通省海事局","カーボンニュートラル貨物運搬船・将来需要予測","2025年6月20日（中間とりまとめ公表）","独立した会議一覧ページは今回確認未了"
"量子","官邸・政府横断","","日本成長戦略会議","https://www.cas.go.jp/jp/seisaku/nipponseichosenryaku/index.html","官邸","成長戦略全般・17重点分野","2026年3月10日（第3回）","量子は17重点分野の一つ"
"量子","官邸・政府横断","1","量子WG","https://www8.cao.go.jp/cstp/ryoshigijutsu/ryoshi_wg/ryoshi_wg.html","内閣府","量子分野全般・社会実装・産業化","2026年3月26日（第3回）","日本成長戦略会議の量子分野の司令塔WG"
"量子","官邸・政府横断","2","量子技術イノベーション会議","https://www8.cao.go.jp/cstp/ryoshigijutsu/expert_panel.html","内閣府","量子技術戦略・産業化・国際連携・人材育成","2025年12月24日（第27回）","量子政策全体の中核会議"
"量子","官邸・政府横断","","量子技術イノベーション戦略の戦略見直し検討WG","https://www8.cao.go.jp/cstp/ryoshigijutsu/kento_wg/kento_wg.html","内閣府","量子技術イノベーション戦略の改訂・見直し","2022年3月24日（第11回）","量子技術イノベーション戦略ロードマップ改訂の前段会議"
"量子","官邸・政府横断","","量子技術の実用化推進WG","https://www8.cao.go.jp/cstp/ryoshigijutsu/jitsuyo_wg/jitsuyo_wg.html","内閣府","量子技術の実用化・産業化・ユースケース形成","2025年3月1日（第9回）","量子未来産業創出戦略の実装側の系譜"
"量子","官邸・政府横断","","基本計画専門調査会","https://www8.cao.go.jp/cstp/tyousakai/kihon7/index.html","内閣府（CSTI）","科学技術・イノベーション基本計画全般","2026年3月16日（第13回）","量子を重要技術領域として扱う上位会議"
"量子","官邸・政府横断","","重要技術領域検討WG","https://www8.cao.go.jp/cstp/tyousakai/kihon7/wg/index.html","内閣府（CSTI）","AI・量子・半導体・宇宙等の重要技術領域","2025年11月26日（第7回）","量子を国家戦略技術として整理する上流会議"
"量子","省庁","3","量子科学技術委員会（第9期～）","https://www.mext.go.jp/b_menu/shingi/gijyutu/gijyutu2/089/index.htm","文部科学省","量子科学技術・分野別研究開発プラン・研究開発評価","2026年1月22日（第35回）","文科省の量子研究開発政策の中核"
"量子","省庁","4","量子ビーム施設利用推進委員会","https://www.mext.go.jp/b_menu/shingi/gijyutu/gijyutu28/001/index.html","文部科学省","量子ビーム施設・研究基盤・共用化","2026年3月6日（第7回）","量子ビーム分野の基盤整備会議"
"量子","省庁","","国立研究開発法人審議会 量子科学技術研究開発機構部会","https://www.mext.go.jp/b_menu/shingi/kokurituken/010/index.htm","文部科学省","QSTの中長期目標・業務実績・組織運営","2025年12月12日～17日（第36回）","QSTを通じた量子研究基盤の評価・管理"
"量子","省庁","","光・量子飛躍フラッグシッププログラム（Q-LEAP）ガバニングボード","https://www.mext.go.jp/b_menu/shingi/chousa/gijyutu/033/index.htm","文部科学省","光・量子技術の研究開発プログラム管理","2020年2月14日（第10回）","現行の定期会合というよりプログラム運営の系譜"
"量子","省庁","","産業構造審議会 経済産業政策新機軸部会","https://www.meti.go.jp/shingikai/sankoshin/shin_kijiku/index.html","経済産業省","産業政策全般・先端基盤技術","2026年3月5日第30回","第4回で「先端基盤技術（量子・AI）戦略」を議論"
"量子","省庁","","第4回 産業構造審議会 経済産業政策新機軸部会","https://www.meti.go.jp/shingikai/sankoshin/shin_kijiku/004.html","経済産業省","量子・AIの先端基盤技術戦略","2022年2月16日（第4回）","量子・AI戦略を明示的に議論した回"
"量子","省庁","","ポスト5G情報通信システム基盤強化研究開発事業（量子関連を含む）","https://www.meti.go.jp/policy/mono_info_service/joho/post5g/index.html","経済産業省","量子コンピュータ関連研究開発・部素材・実証基盤","2026年3月24日（研究開発計画改定資料確認）","会議体というより制度・事業の公募評価・審査運営"
"量子","関連・系譜","","量子産業の創出・発展に向けた推進方策","https://www8.cao.go.jp/cstp/ryoshigijutsu/240409_q_measures.pdf","内閣府","量子産業政策・産業化推進","2024年4月9日（量子技術イノベーション会議報告）","会議体ではなく政策取りまとめ文書"
"量子","関連・系譜","","量子エコシステム構築に向けた推進方策","https://www8.cao.go.jp/cstp/ryoshigijutsu/ryoshigijutsu.html","内閣府","量子エコシステム・拠点形成・国際連携","2025年5月30日（量子技術イノベーション会議報告）","会議体ではなく政策取りまとめ文書"
"量子","関連・系譜","","量子技術イノベーション拠点","https://www.mext.go.jp/content/20211217-mxt_kiso-000019909_10.pdf","文部科学省","量子コンピュータ・量子計測・量子生命・量子材料等の拠点形成","2021年12月17日（第25回量子科学技術委員会資料）","会議体ではなく拠点形成施策"
"合成生物学・バイオ","官邸・政府横断","","日本成長戦略会議","https://www.cas.go.jp/jp/seisaku/nipponseichosenryaku/index.html","官邸","成長戦略全般・17重点分野","2026年3月10日（第3回）","合成生物学・バイオは17重点分野の一つ"
"合成生物学・バイオ","官邸・政府横断","1","合成生物学・バイオWG","https://www.meti.go.jp/shingikai/mono_info_service/synbio/index.html","経済産業省","合成生物学・バイオ全般・再生医療・創薬・バイオものづくり","2026年4月2日（第3回）","日本成長戦略会議の合成生物学・バイオ分野の司令塔WG"
"合成生物学・バイオ","官邸・政府横断","","統合イノベーション戦略推進会議","https://www8.cao.go.jp/cstp/tougosenryaku/kaigi.html","内閣府（CSTI）","統合イノベーション戦略全般・バイオ戦略","直近開催日は今回個別確認未了","「バイオ戦略」「バイオエコノミー戦略」の決定母体"
"合成生物学・バイオ","官邸・政府横断系譜","","イノベーション政策強化推進のための有識者会議「バイオ戦略」","https://www8.cao.go.jp/cstp/bio/6kai/6kai.html","内閣府（CSTI）","バイオ戦略・バイオコミュニティ・市場領域施策","2021年1月14日～15日（第6回・書面開催）","現行バイオエコノミー戦略の前史"
"合成生物学・バイオ","省庁","2","バイオものづくり革命推進WG","https://www.meti.go.jp/shingikai/sankoshin/shomu_ryutsu/bio/mono_wg/index.html","経済産業省","バイオものづくり・バイオ由来製品・社会実装","2025年12月4日（第13回）","経産省の実務中核会議"
"合成生物学・バイオ","省庁","4","ライフサイエンス委員会","https://www.mext.go.jp/b_menu/shingi/gijyutu/gijyutu2/044/index.htm","文部科学省","ライフサイエンス研究基盤・研究力向上・バイオエコノミー","2026年1月16日（第120回）","文科省のライフサイエンス政策中核"
"合成生物学・バイオ","省庁","5","ライフサイエンス委員会 基礎・横断研究戦略作業部会（第13期～）","https://www.mext.go.jp/b_menu/shingi/gijyutu/gijyutu2/116/1421534_00002.htm","文部科学省","基礎生命科学・研究基盤・バイオリソース・データ基盤","2026年2月20日（第2回）","ライフサイエンス委員会の下部作業部会"
"合成生物学・バイオ","省庁","3","厚生科学審議会 再生医療等評価部会","https://www.mhlw.go.jp/stf/shingi/shingi-kousei_247499.html","厚生労働省","再生医療・細胞治療・遺伝子治療","2026年4月15日（第116回）","再生医療等安全性確保法等に関する中核会議"
"合成生物学・バイオ","省庁","","特定医療技術等開発推進検討会","https://www.mhlw.go.jp/stf/shingi/other-isei_20490.html","厚生労働省","再生・細胞医療・遺伝子治療の開発推進","2026年3月16日（第1回）","新設の実務検討会"
"合成生物学・バイオ","省庁","","バイオマス産業都市選定委員会","https://www.maff.go.jp/j/shokusan/biomass/b_sangyo_toshi/b_sangyo_toshi.html","関係7府省（農林水産省ほか）","バイオマス活用・地域バイオ産業化","2025年12月23日","合成生物学ど真ん中ではないが農水系の関連会議"
"合成生物学・バイオ","関連施策・系譜","","バイオエコノミー戦略","https://www.mext.go.jp/content/20240620-mxt_life-000036663_8.pdf","統合イノベーション戦略推進会議決定","バイオものづくり・持続的一次生産システム・木材活用大型建築/スマート林業・バイオ医薬品等","2024年6月3日決定","会議体ではなく政策文書"
"合成生物学・バイオ","関連施策・系譜","","創薬力の向上により国民に最新の医薬品を迅速に届けるための構想会議（中間とりまとめ・工程表）","https://www.mhlw.go.jp/content/10808000/001298509.pdf","内閣官房健康・医療戦略室","創薬・バイオ医薬品・再生細胞医療・遺伝子治療","2024年7月（工程表）","会議本文の直近開催日ページは今回特定未了だが工程表は確認"
"航空・宇宙","官邸・政府横断","","日本成長戦略会議","https://www.cas.go.jp/jp/seisaku/nipponseichosenryaku/index.html","官邸","成長戦略全般・17重点分野","2026年3月10日（第3回）","航空・宇宙は17重点分野の一つ"
"航空・宇宙","官邸・政府横断","1","航空・宇宙WG","https://www.cao.go.jp/keizai_anzen_hosho/kokuuchu/kokuuchu.html","内閣府","民間航空機・無人航空機・空飛ぶクルマ・ロケット/射場・人工衛星・月面探査/低軌道技術","2026年4月2日（第3回）","日本成長戦略会議の航空・宇宙分野の司令塔WG"
"航空・宇宙","官邸・政府横断","2","宇宙政策委員会","https://www8.cao.go.jp/space/comittee/kaisai.html","内閣府","宇宙政策全般","2026年2月24日（第122回）","宇宙政策全体の上位委員会"
"航空・宇宙","官邸・政府横断","","宇宙政策委員会 宇宙安全保障部会","https://www8.cao.go.jp/space/comittee/kaisai.html","内閣府","宇宙安全保障","2026年3月10日（第68回）","宇宙安全保障政策の中核部会"
"航空・宇宙","官邸・政府横断","7","宇宙政策委員会 宇宙輸送小委員会","https://www8.cao.go.jp/space/comittee/kaisai.html","内閣府","ロケット・射場・宇宙輸送","2026年2月5日（第10回）","宇宙輸送能力強化の中核小委員会"
"航空・宇宙","官邸・政府横断","","宇宙政策委員会 衛星小委員会","https://www8.cao.go.jp/space/comittee/kaisai.html","内閣府","人工衛星・衛星利用","2026年1月27日（第34回）","衛星政策の中核小委員会"
"航空・宇宙","官邸・政府横断","","宇宙政策委員会 宇宙科学・探査小委員会","https://www8.cao.go.jp/space/comittee/kaisai.html","内閣府","宇宙科学・探査・月面/深宇宙","2026年1月26日（第69回）","宇宙科学探査の中核小委員会"
"航空・宇宙","官邸・政府横断","","宇宙政策委員会 国立研究開発法人宇宙航空研究開発機構（JAXA）分科会","https://www8.cao.go.jp/space/comittee/kaisai.html","内閣府","JAXAの中期目標・評価・宇宙実施体制","2025年7月18日（第24回）","内閣府側のJAXA評価分科会"
"航空・宇宙","官邸・政府横断","","宇宙政策委員会 宇宙活動法の見直しに関する小委員会","https://www8.cao.go.jp/space/comittee/kaisai.html","内閣府","宇宙活動法・制度改正","2025年12月1日（第9回）","2025年12月9日に最終とりまとめ"
"航空・宇宙","官邸・政府横断","","衛星測位に関するWG","https://www8.cao.go.jp/space/comittee/kaisai.html","内閣府","準天頂衛星・衛星測位","2026年3月17日（第6回）","測位衛星の運用・開発等を扱うWG"
"航空・宇宙","省庁","3","航空機産業小委員会","https://www.meti.go.jp/shingikai/sankoshin/seizo_sangyo/kokuki_uchu/index.html","経済産業省","民間航空機・航空機産業戦略","2026年3月2日（第3回）","航空機宇宙産業小委員会から改組"
"航空・宇宙","省庁","4","航空機の脱炭素化に向けた新技術官民協議会","https://www.mlit.go.jp/koku/koku_tk11_000005.html","国土交通省・経済産業省","電動化・水素航空機・軽量化・安全基準・国際標準化","2026年3月10日（第5回）","航空機脱炭素化の実装会議"
"航空・宇宙","省庁","5","空の移動革命に向けた官民協議会","https://www.mlit.go.jp/koku/koku_tk2_000007.html","国土交通省・経済産業省","空飛ぶクルマ・AAM・制度整備・市場形成","2026年3月27日（第12回）","空飛ぶクルマ分野の中核官民協議会"
"航空・宇宙","省庁","","航空機運航分野におけるCO2削減に関する検討会","https://www.mlit.go.jp/koku/koku_tk8_000004.html","国土交通省","航空運航・SAF・管制高度化・機材新技術","2026年3月5日（第9回）","航空脱炭素の上位検討会"
"航空・宇宙","省庁","","運航の改善によるCO2削減協議会","https://www.mlit.go.jp/koku/koku_tk13_000038.html","国土交通省","航空運航改善・管制高度化・CO2削減","2026年2月20日（第6回）","航空脱炭素工程表の実務推進会合"
"航空・宇宙","省庁","6","宇宙開発利用部会","https://www.mext.go.jp/b_menu/shingi/gijyutu/gijyutu2/059/index.htm","文部科学省","宇宙開発利用全般・研究開発計画・評価","2026年4月9日（第104回）","文科省の宇宙研究開発政策中核"
"航空・宇宙","省庁","","宇宙開発利用部会 調査・安全小委員会","https://www.mext.go.jp/b_menu/shingi/gijyutu/gijyutu2/060/index.htm","文部科学省","ロケット打上げ・調査安全・再発防止","2026年4月13日（第62回）","直近はH3ロケット8号機打上げ関連会合"
"航空・宇宙","省庁","","宇宙開発利用部会 国際宇宙ステーション・国際宇宙探査小委員会","https://www.mext.go.jp/b_menu/shingi/gijyutu/gijyutu2/071/index.htm","文部科学省","ISS・国際宇宙探査・ポストISS・月探査","2026年3月27日（第74回）","地球低軌道・国際宇宙探査の中核小委員会"
"航空・宇宙","省庁","8","航空科学技術委員会","https://www.mext.go.jp/b_menu/shingi/gijyutu/gijyutu2/004/index.html","文部科学省","航空科学技術・研究開発計画・評価","2026年3月19日（第80回）","文科省の航空研究開発政策中核"
"航空・宇宙","省庁","","航空科学技術委員会 研究開発ビジョン検討作業部会","https://www.mext.go.jp/b_menu/shingi/gijyutu/gijyutu2/098/index.htm","文部科学省","航空科学技術の中長期ビジョン","2019年10月1日（第4回）","現行ビジョンの系譜会議"
"航空・宇宙","省庁","","国立研究開発法人審議会 宇宙航空研究開発機構部会","https://www.mext.go.jp/b_menu/shingi/kokurituken/005/index.htm","文部科学省","JAXAの中長期目標・実績評価","2025年7月23日（第31回）","文科省側のJAXA評価部会"
"デジタル・サイバーセキュリティ","官邸・政府横断","","日本成長戦略会議","https://www.cas.go.jp/jp/seisaku/nipponseichosenryaku/index.html","官邸","成長戦略全般・17重点分野","2026年3月10日（第3回）","デジタル・サイバーセキュリティは17重点分野の一つ"
"デジタル・サイバーセキュリティ","官邸・政府横断","1","デジタル・サイバーセキュリティWG","https://www.digital.go.jp/councils/digital-cybersecurity","デジタル庁・経済産業省","デジタル政策・サイバーセキュリティ・官民投資ロードマップ","2026年4月6日（第2回）","日本成長戦略会議の当該分野の司令塔WG"
"デジタル・サイバーセキュリティ","官邸・政府横断","4","デジタル社会推進会議","https://www.digital.go.jp/councils/social-promotion","デジタル庁","デジタル社会形成全般・重点計画","2025年6月13日（第6回）","デジタル政策の政府横断会議"
"デジタル・サイバーセキュリティ","官邸・政府横断","","デジタル社会推進会議幹事会","https://www.digital.go.jp/councils/social-promotion-executive","デジタル庁","各府省のDX推進・行政データ・実装調整","2026年3月31日（第21回、各府省庁DX推進連絡会議との合同会議）","デジタル政策実装の実務幹事会"
"デジタル・サイバーセキュリティ","官邸・政府横断","","デジタル社会構想会議","https://www.digital.go.jp/councils/social-concept","デジタル庁","デジタル社会の中長期構想・重点計画改定","2025年12月4日（第11回）","上位の構想会議"
"デジタル・サイバーセキュリティ","官邸・政府横断","","データ戦略推進WG","https://www.digital.go.jp/councils/data-strategy-wg","デジタル庁","データ戦略・ベースレジストリ・オープンデータ・DFFT","2023年6月6日（第7回）","常設系譜として重要だが直近更新は2023年"
"デジタル・サイバーセキュリティ","官邸・政府横断","5","データセキュリティWG","https://www.digital.go.jp/councils/data-security-wg","デジタル庁","データセキュリティ・越境移転・制度/技術/運用","2026年3月3日（第4回）","データ安全保障寄りの中核WG"
"デジタル・サイバーセキュリティ","官邸・政府横断","","デジタル関係制度改革検討会","https://www.digital.go.jp/councils/digital-system-reform","デジタル庁","アナログ規制見直し・デジタル原則適合・制度改革","2025年12月3日（第9回）","制度面の実務会議"
"デジタル・サイバーセキュリティ","官邸・政府横断","","ベース・レジストリ推進有識者会合","https://www.digital.go.jp/councils/base-registry-advisory-board","デジタル庁","公的基礎情報DB・ベースレジストリ整備","2026年3月30日（第5回）","基盤データ整備の中核会議"
"デジタル・サイバーセキュリティ","官邸・政府横断","","属性証明の課題整理に関する有識者会議","https://www.digital.go.jp/councils/vc-diw-governance","デジタル庁","VC・DIW・属性証明・デジタルアイデンティティ","2026年2月26日（第2回）","本人確認・資格/属性証明の新基盤"
"デジタル・サイバーセキュリティ","官邸・政府横断","","属性証明の課題整理に関する有識者会議 技術WG","https://www.digital.go.jp/councils/vc-diw-governance-wg-tec","デジタル庁","VC・DIWの技術面/運用面の対策","2026年1月8日（第2回）","上記有識者会議の下部WG"
"デジタル・サイバーセキュリティ","官邸・政府横断","","先進的AI利活用アドバイザリーボード","https://www.digital.go.jp/councils/ai-advisory-board","デジタル庁","A I利活用・生成AI調達・リスク管理・サイバーセキュリティ","2026年3月10日（第3回）","生成AIの政府横断活用に関する会議"
"デジタル・サイバーセキュリティ","官邸・政府横断","3","サイバーセキュリティ戦略本部","https://www.cyber.go.jp/council/cs/index.html","国家サイバー統括室（内閣官房）","サイバーセキュリティ政策全般","2026年3月24日（第4回会合・持ち回り）","サイバー政策の最高位会議"
"デジタル・サイバーセキュリティ","官邸・政府横断","2","サイバーセキュリティ推進専門家会議","https://www.cyber.go.jp/council/cs/cs_expert/index.html","国家サイバー統括室（内閣官房）","サイバー政策の横断論点・人材・成長戦略連携","2026年3月19日（第5回）","分野横断課題の検討会議"
"デジタル・サイバーセキュリティ","官邸・政府横断","","重要インフラサイバーセキュリティ対策推進会議 課長級会議","https://www.cyber.go.jp/council/cs/cip_suishin/kacho","国家サイバー統括室（内閣官房）","重要インフラ・統一基準・行動計画","2026年3月18日（第5回）","重要インフラ対策の実務会議"
"デジタル・サイバーセキュリティ","官邸・政府横断","","重要インフラサイバーセキュリティ研究会","https://www.cyber.go.jp/council/cs/cip_suishin/cip_cs_kenkyu/index.html","国家サイバー統括室（内閣官房）","重要インフラ分野のサイバー対策","2026年3月4日（第3回）","重要インフラ分野ヒアリング等を実施"
"デジタル・サイバーセキュリティ","官邸・政府横断","","サイバーインフラ事業者に求められる役割等の検討会","https://www.cyber.go.jp/council/cs/ciip/yakuwari/index.html","国家サイバー統括室（内閣官房）","ソフトウェア・ICTサービス供給者のセキュリティ責務","2026年3月4日（第5回・持ち回り終了日）","重要インフラ専門調査会終了後はNCO会議として運営"
"デジタル・サイバーセキュリティ","官邸・政府横断","","サイバーセキュリティ対策推進会議（CISO等連絡会議）","https://www.cyber.go.jp/council/cs/taisaku","国家サイバー統括室（内閣官房）","政府機関等の統一基準・対策推進","2025年6月27日（第21回）","政府機関横断のCISO会議"
"デジタル・サイバーセキュリティ","省庁","6","産業サイバーセキュリティ研究会","https://www.meti.go.jp/shingikai/mono_info_service/sangyo_cyber/","経済産業省","産業界全体のサイバー対策・供給力強化・制度設計","2026年4月3日（第10回）","経産省の中核研究会"
"デジタル・サイバーセキュリティ","省庁","7","産業サイバーセキュリティ研究会 WG1（実効性強化・国際連携）","https://www.meti.go.jp/shingikai/mono_info_service/sangyo_cyber/wg_seido/index.html","経済産業省","制度実効性強化・国際連携","2026年3月10日（第12回）","SCS評価制度などの上位WG"
"デジタル・サイバーセキュリティ","省庁","8","産業サイバーセキュリティ研究会 WG1 サプライチェーン強化に向けたセキュリティ対策評価制度に関するSWG","https://www.meti.go.jp/shingikai/mono_info_service/sangyo_cyber/wg_seido/wg_supply_chain/index.html","経済産業省","サプライチェーン強化・セキュリティ対策評価制度（SCS評価制度）","2026年3月4日（第7回）","2026年度末頃の制度運用開始を目指す検討"
"デジタル・サイバーセキュリティ","省庁","9","産業サイバーセキュリティ研究会 WG3（産業振興・人材育成）","https://www.meti.go.jp/shingikai/mono_info_service/sangyo_cyber/wg_cybersecurity/","経済産業省","サイバーセキュリティ産業振興・人材育成","2026年3月12日（第10回）","供給力強化・人材育成の主戦場"
"デジタル・サイバーセキュリティ","省庁","","IoT製品に対するセキュリティ適合性評価制度構築に向けた検討会","https://www.meti.go.jp/shingikai/mono_info_service/sangyo_cyber/wg_cybersecurity/iot_security/index.html","経済産業省","IoT製品セキュリティ・JC-STAR","2024年3月4日（第7回）","JC-STARの制度設計の系譜"
